Date,Name,Year,Letterboxd URI
2025-11-17,Schizopolis,1996,https://boxd.it/1Keu
2025-11-17,The Birds,1963,https://boxd.it/2a6m
2025-11-18,Paterson,2016,https://boxd.it/cRk2
2025-11-18,Urf Professor,2001,https://boxd.it/cRMq
2025-11-18,Le Samouraï,1967,https://boxd.it/22ZI
2025-11-18,The Consequences of Love,2004,https://boxd.it/1xgM
2025-11-18,The Hand of God,2021,https://boxd.it/r5uI
2025-11-18,Battleship Potemkin,1925,https://boxd.it/29Vo
2025-11-18,Blue Movie,1969,https://boxd.it/77J6
2025-11-18,Vinyl,1965,https://boxd.it/32DO
2025-11-18,Blood Simple,1984,https://boxd.it/1U16
2025-11-18,Blue Is the Warmest Color,2013,https://boxd.it/4O40
2025-11-19,The Alto Knights,2025,https://boxd.it/CjB6
2025-11-19,The Guard,2011,https://boxd.it/2eBS
2025-11-19,Seven Psychopaths,2012,https://boxd.it/34PW
2025-11-19,A Summer's Tale,1996,https://boxd.it/183e
2025-11-21,The Mother,2025,https://boxd.it/PRaa
2025-11-25,Theorem,1968,https://boxd.it/237C
2025-11-25,Medea,1969,https://boxd.it/1u1Y
2025-11-25,Medea,1988,https://boxd.it/1d7q
2025-11-25,The Seed of the Sacred Fig,2024,https://boxd.it/MKo4
2025-11-25,Christine,1983,https://boxd.it/1ZRQ
2025-11-25,Rachel Getting Married,2008,https://boxd.it/1N30
2025-11-27,Companion,2025,https://boxd.it/F04o
2025-11-27,Creed,2015,https://boxd.it/a2qk
2025-11-27,The Princess Bride,1987,https://boxd.it/26EY
2025-11-27,A New Life,2002,https://boxd.it/3q1O
2025-11-27,The Third Part of the Night,1971,https://boxd.it/Miw
2025-11-27,Dead Ringers,1988,https://boxd.it/1Yqk
2025-11-27,Manichitrathazhu,1993,https://boxd.it/2Yeg
2025-11-27,Manhunter,1986,https://boxd.it/1TOw
2025-11-27,Carrie,1976,https://boxd.it/20ZQ
2025-11-27,Angel Dust,1994,https://boxd.it/1esa
2025-11-27,The Skin I Live In,2011,https://boxd.it/99A
2025-11-27,Deep Red,1975,https://boxd.it/1E1E
2025-11-27,Freaks,1932,https://boxd.it/2b3o
2025-11-27,I Saw the Devil,2010,https://boxd.it/FaK
2025-11-27,Phantom of the Paradise,1974,https://boxd.it/1s34
